DAT_MED;HR_MED;TEM_INS;UMD_INS;VEN_VEL
2012-01-22;1300;29.6;74.0;1.0
2012-01-22;1400;31.1;66.0;0.9
2012-01-22;1500;30.8;62.0;1.0
2012-01-22;1600;25.5;78.0;1.3
2012-01-22;1700;25.0;88.0;1.6
2012-01-22;1800;25.1;90.0;0.6
2012-01-22;1900;26.2;88.0;0.0
2012-01-22;2000;26.6;84.0;0.0
2012-01-22;2100;26.2;85.0;0.4
2012-01-22;2200;25.9;87.0;0.6
2012-01-22;2300;25.0;91.0;0.2
2012-01-23;0;24.7;92.0;0.0
2012-01-23;100;24.5;92.0;0.0
2012-01-23;200;24.4;92.0;0.0
2012-01-23;300;24.3;93.0;0.1
2012-01-23;400;24.4;93.0;1.4
2012-01-23;500;24.1;93.0;1.6
2012-01-23;600;23.8;93.0;1.9
2012-01-23;700;23.2;93.0;1.3
2012-01-23;800;23.0;93.0;1.3
2012-01-23;900;22.9;93.0;0.6
2012-01-23;1000;22.9;93.0;0.9
2012-01-23;1100;24.0;90.0;0.9
2012-01-23;1200;26.0;85.0;1.4
2012-01-23;1300;27.5;78.0;0.4
2012-01-23;1400;27.5;77.0;0.6
2012-01-23;1500;28.4;74.0;0.6
2012-01-23;1600;29.8;66.0;0.3
2012-01-23;1700;30.3;63.0;1.3
2012-01-23;1800;23.4;91.0;2.7
2012-01-23;1900;23.0;93.0;1.5
2012-01-23;2000;23.1;93.0;1.3
2012-01-23;2100;23.1;92.0;0.9
2012-01-23;2200;23.3;93.0;0.8
2012-01-23;2300;23.4;93.0;0.5
2012-01-24;0;23.6;92.0;0.2
2012-01-24;100;23.6;93.0;0.2
2012-01-24;200;23.4;93.0;0.1
2012-01-24;300;23.3;93.0;0.2
2012-01-24;400;23.2;93.0;0.0
2012-01-24;500;23.1;93.0;0.0
2012-01-24;600;23.5;93.0;1.3
2012-01-24;700;23.4;94.0;1.6
2012-01-24;800;23.4;94.0;1.7
2012-01-24;900;23.4;94.0;0.8
2012-01-24;1000;23.5;94.0;0.1
2012-01-24;1100;23.8;93.0;1.4
2012-01-24;1200;25.6;89.0;1.0
2012-01-24;1300;26.4;82.0;1.2
2012-01-24;1400;28.1;78.0;0.8
2012-01-24;1500;29.3;71.0;1.4
2012-01-24;1600;29.9;64.0;1.8
2012-01-24;1700;31.0;60.0;0.9
2012-01-24;1800;31.1;60.0;1.1
2012-01-24;1900;31.3;55.0;1.3
2012-01-24;2000;30.6;57.0;1.3
2012-01-24;2100;28.1;76.0;1.7
